-22.600000, 17.100000
-19.283333, 22.900000, Natural
-17.924530, 25.855390, Natural
-20.158333, 28.376667, Cultural
-20.283333, 30.933333, Cultural
-14.033330, 34.883330, Natural
-15.034170, 40.735830, Cultural
-9.000000, 37.400000, Natural
-4.062778, 39.679444, Cultural
-3.187220, 35.540830, Mixed
14.198060, 43.330000, Cultural
4.800000, 35.966667, Cultural
0.348611, 32.551389, Cultural
0.223611, 29.924167, Natural
0.916667, 29.166667, Natural
2.000000, 28.500000, Natural
-2.500000, 28.750000, Natural
-2.000000, 21.000000, Natural
2.609444, 16.554167, Natural
3.000000, 13.000000, Natural
-0.500000, 11.500000, Mixed
5.195833, 3.736389, Cultural
7.755560, 4.552220, Cultural
12.350000, 2.350000, Natural
10.066667, 1.133333, Cultural
7.183333, 1.983333, Cultural
6.401111, -1.625833, Cultural
10.250000, -3.583333, Cultural
9.000000, -4.000000, Natural
-29.765278, 29.123056, Mixed
-26.860000, 27.260000, Natural
-28.600000, 17.203889, Cultural
-24.885278, 15.407778, Natural
-20.595583, 14.372583, Cultural
-22.600000, 17.100000
